time, act_r, act_thr, th_mo, th_bi
0.0112,0.348058,1.58344,0.782617,2.38426
0.0113,0.347976,1.58357,0.782518,2.38462
0.0114,0.347894,1.5837,0.782417,2.38498
0.0115,0.347812,1.58382,0.782315,2.38533
0.0116,0.347729,1.58395,0.78221,2.38569
0.0117,0.347645,1.58407,0.782103,2.38605
0.0118,0.347562,1.5842,0.781994,2.3864
0.0119,0.347478,1.58432,0.781883,2.38676
0.012,0.347394,1.58444,0.78177,2.38711
0.0121,0.34731,1.58456,0.781655,2.38746
0.0122,0.347225,1.58468,0.781537,2.38782
0.0123,0.347141,1.58479,0.781418,2.38817
0.0124,0.347055,1.58491,0.781296,2.38852
0.0125,0.34697,1.58502,0.781172,2.38887
0.0126,0.346885,1.58513,0.781046,2.38922
0.0127,0.346799,1.58524,0.780918,2.38957
0.0128,0.346713,1.58535,0.780788,2.38991
0.0129,0.346627,1.58546,0.780655,2.39026
0.013,0.34654,1.58556,0.78052,2.39061
0.0131,0.346454,1.58567,0.780383,2.39095
0.0132,0.346367,1.58577,0.780244,2.39129
0.0133,0.34628,1.58587,0.780102,2.39163
0.0134,0.346192,1.58597,0.779958,2.39197
0.0135,0.346105,1.58606,0.779812,2.39231
0.0136,0.346017,1.58616,0.779664,2.39265
0.0137,0.34593,1.58625,0.779513,2.39298
0.0138,0.345842,1.58634,0.77936,2.39332
0.0139,0.345754,1.58643,0.779205,2.39365
0.014,0.345665,1.58651,0.779047,2.39398
0.0141,0.345577,1.5866,0.778887,2.39431
0.0142,0.345488,1.58668,0.778725,2.39464
0.0143,0.3454,1.58676,0.77856,2.39497
0.0144,0.345311,1.58684,0.778393,2.39529
0.0145,0.345222,1.58692,0.778224,2.39561
0.0146,0.345133,1.58699,0.778052,2.39593
0.0147,0.345044,1.58707,0.777878,2.39625
0.0148,0.344954,1.58714,0.777702,2.39657
0.0149,0.344865,1.5872,0.777523,2.39688
0.015,0.344775,1.58727,0.777342,2.3972
0.0151,0.344686,1.58733,0.777158,2.39751
0.0152,0.344596,1.5874,0.776972,2.39782
